,region,sales_price,bedroom,bathroom,parking,dimensions
1155,"Vila  do  Encontro, Sao Paulo",290000,1,1,23,51
1156,"Morumbi, Sao Paulo",480000,3,2,2,67
1157,"Vila  Suzana, Sao Paulo",1039900,3,4,3,175
1158,"Vila  Nova  Conceição, Sao Paulo",580000,2,2,3,72
1159,"Jabaquara, Sao Paulo",450000,3,3,3,69
1160,"Bela  Aliança, Sao Paulo",940000,2,3,3,62
1161,"Jardim  Adutora, Sao Paulo",129000,1,0,3,24
1162,"Moema, Sao Paulo",2120000,3,3,2,192
1163,"Colônia   Zona  Leste, Sao Paulo",168000,2,1,2,50
1164,"Jaguaré, Sao Paulo",355000,2,1,2,55
1165,"Brooklin  Paulista, Sao Paulo",1100000,4,4,2,160
1166,"Vila  Mariana, Sao Paulo",2000000,3,3,3,200
1167,"Vila  Mariana, Sao Paulo",1200000,3,1,3,131
1168,"Santana, Sao Paulo",640000,2,1,3,73
1169,"Jardim  Ampliação, Sao Paulo",227000,1,1,3,40
1170,"Vila  Leopoldina, Sao Paulo",640000,3,3,2,78
1171,"Jardim  Paulista, Sao Paulo",450000,0,1,2,40
1172,"Jardim  Paulista, Sao Paulo",585000,1,0,2,43
1173,"Jardim  Anália  Franco, Sao Paulo",7400000,5,9,9,625
1174,"Ferreira, Sao Paulo",147900,1,1,9,28
1175,"Planalto  Paulista, Sao Paulo",2300000,3,4,4,250
1176,"Chácara  Klabin, Sao Paulo",335000,0,1,4,22
1177,"Brooklin, Sao Paulo",3000000,3,3,3,192
1178,"Moema, Sao Paulo",2400000,3,0,3,170
1179,"Higienópolis, Sao Paulo",2800000,4,4,3,242
1180,"Limão, Sao Paulo",190000,2,1,3,38
1181,"Barra  Funda, Sao Paulo",680000,2,1,3,105
1182,"Sapopemba, Sao Paulo",177000,2,1,3,42
1183,"Aclimação, Sao Paulo",655000,2,2,2,68
1184,"Moema, Sao Paulo",805000,2,0,2,58
1185,"Jardim  Ester  Yolanda, Sao Paulo",680000,4,2,2,90
1186,"Pinheiros, Sao Paulo",510000,0,1,2,76
1187,"Saúde, Sao Paulo",480000,3,2,2,72
1188,"Paraíso, Sao Paulo",1800000,0,3,3,187
1189,"Vila  Madalena, Sao Paulo",1029000,2,1,3,70
1190,"Alto  da  Lapa, Sao Paulo",1850000,4,5,4,224
1191,"Vila  Califórnia, Sao Paulo",212300,2,1,4,50
1192,"Conjunto  Habitacional  Santa  Etelvina  III, Sao Paulo",139999,2,1,4,50
1193,"Santana, Sao Paulo",1070000,3,3,2,136
1194,"Sacomã, Sao Paulo",270000,2,1,2,56
1195,"Brooklin, Sao Paulo",275000,1,1,2,29
1196,"Tatuapé, Sao Paulo",890000,3,2,2,106
1197,"Vila  Gumercindo, Sao Paulo",740000,3,2,2,89
1198,"Vila  Guarani  Zona  Sul, Sao Paulo",520000,2,2,2,59
1199,"Higienópolis, Sao Paulo",1850000,0,4,2,180
1200,"Tatuapé, Sao Paulo",268000,2,1,2,44
1201,"Consolação, Sao Paulo",330000,0,1,2,40
1202,"Paraíso, Sao Paulo",175000,0,1,2,26
1203,"Alto  de  Pinheiros, Sao Paulo",7687000,3,5,3,516
1204,"Moema, Sao Paulo",690000,2,2,3,67
1205,"Jardim  Umuarama, Sao Paulo",450000,2,1,2,74
1206,"Cerqueira  César, Sao Paulo",2400000,3,3,3,133
1207,"Pompéia, Sao Paulo",845000,3,2,2,80
1208,"Perdizes, Sao Paulo",610000,2,1,2,88
1209,"Centro, Sao Paulo",400000,2,1,2,77
1210,"Saúde, Sao Paulo",348000,1,1,2,41
1211,"Perdizes, Sao Paulo",1398454,3,3,2,136
1212,"Jardim  América, Sao Paulo",4775000,3,3,3,306
1213,"Moema, Sao Paulo",800000,2,0,3,85
1214,"Higienópolis, Sao Paulo",1200000,0,1,3,98
1215,"Moema, Sao Paulo",280000,1,1,3,30
1216,"Vila  Nova  Conceição, Sao Paulo",850000,0,1,3,88
1217,"Moema, Sao Paulo",2200000,4,0,3,170
1218,"Vila  Olímpia, Sao Paulo",900000,1,1,3,58
1219,"Santa  Cecília, Sao Paulo",1455000,2,2,3,126
1220,"Jardim  Marajoara, Sao Paulo",450000,3,2,2,75
1221,"Alto  da  Boa  Vista, Sao Paulo",1272000,3,4,2,135
1222,"Higienópolis, Sao Paulo",1650000,2,3,2,210
1223,"Jardim  Taquaral, Sao Paulo",220000,2,1,2,60
1224,"Jardim  América, Sao Paulo",1100000,2,1,2,99
1225,"Jardim  Caboré, Sao Paulo",311100,3,1,2,64
1226,"Vila  Pompéia, Sao Paulo",530000,1,1,2,38
1227,"Saúde, Sao Paulo",672000,3,2,2,78
1228,"Parque  Munhoz, Sao Paulo",220000,2,1,2,49
1229,"Pompéia, Sao Paulo",850000,3,2,2,90
1230,"Vila  Mascote, Sao Paulo",732000,2,3,2,130
1231,"Ferreira, Sao Paulo",161400,1,1,2,27
1232,"Moema, Sao Paulo",860000,2,3,3,86
1233,"Santa  Cecília, Sao Paulo",630000,2,1,3,97
1234,"Jardim  Paulista, Sao Paulo",1380000,3,1,3,177
1235,"Pirituba, Sao Paulo",147560,0,0,3,45
1236,"Jardins, Sao Paulo",335000,1,1,3,28
1237,"Jardim  Bonfiglioli, Sao Paulo",269000,2,1,3,50
1238,"Jardim  Campo  Grande, Sao Paulo",550000,4,3,3,134
1239,"Vila  Mariana, Sao Paulo",370000,1,1,3,35
1240,"Jabaquara, Sao Paulo",240000,1,1,3,45
1241,"Cambuci, Sao Paulo",260000,0,1,3,28
1242,"Panamby, Sao Paulo",750000,3,0,2,110
1243,"Vila  Madalena, Sao Paulo",2200000,2,4,3,173
1244,"Barra  Funda, Sao Paulo",1745000,3,4,3,157
1245,"Vila  Leopoldina, Sao Paulo",420000,2,1,3,50
1246,"Vila  Olímpia, Sao Paulo",300000,1,1,3,29
1247,"Consolação, Sao Paulo",310000,1,1,3,30
1248,"Vila  Andrade, Sao Paulo",200500,2,1,3,40
1249,"Brooklin, Sao Paulo",1200000,0,2,2,76
1250,"Vila  Nova  Conceição, Sao Paulo",6500000,4,0,4,380
1251,"Vila  Prudente, Sao Paulo",199000,0,1,4,41
1252,"Jardim  São  Paulo  Zona  Norte, Sao Paulo",950000,3,4,3,100
1253,"Jardim  América, Sao Paulo",3279001,3,5,2,222
1254,"Perdizes, Sao Paulo",720000,3,3,2,81
1255,"Vila  Leopoldina, Sao Paulo",716500,3,3,2,88
1256,"Tatuapé, Sao Paulo",160000,1,1,2,24
1257,"Campo  Belo, Sao Paulo",1390000,3,5,3,190
1258,"Vila  Ré, Sao Paulo",244000,2,1,3,50
1259,"Moema, Sao Paulo",1382001,3,4,2,121
1260,"Alto  da  Lapa, Sao Paulo",2300000,4,5,3,247
1261,"Jardim  Celeste, Sao Paulo",149900,2,1,3,41
1262,"Higienópolis, Sao Paulo",1350000,3,1,3,170
1263,"Perdizes, Sao Paulo",940000,2,3,2,95
1264,"Santa  Efigênia, Sao Paulo",350000,2,1,2,64
1265,"Aclimação, Sao Paulo",1200000,2,2,2,74
1266,"Santa  Cecília, Sao Paulo",1950000,3,0,2,235
1267,"Aclimação, Sao Paulo",1400000,4,2,4,160
1268,"Jardim  Marajoara, Sao Paulo",2990000,4,6,5,370
1269,"Higienópolis, Sao Paulo",1300000,3,4,2,134
1270,"Vila  Zilda, Sao Paulo",450000,2,2,2,67
1271,"Água  Branca, Sao Paulo",740000,3,4,2,108
1272,"Brooklin, Sao Paulo",800000,1,1,2,68
1273,"Pompéia, Sao Paulo",718000,3,3,2,80
1274,"Cambuci, Sao Paulo",305000,1,1,2,50
1275,"Moema, Sao Paulo",839020,2,2,2,53
1276,"Ipiranga, Sao Paulo",1200535,3,4,2,140
1277,"Jardim  Paulista, Sao Paulo",480000,0,1,2,33
1278,"Vila  Gumercindo, Sao Paulo",1035000,2,3,3,113
1279,"Perdizes, Sao Paulo",1390000,4,4,2,170
1280,"Indianópolis, Sao Paulo",1280000,2,1,2,121
1281,"Jardim  Arpoador, Sao Paulo",505000,3,2,2,95
1282,"Mooca, Sao Paulo",860000,3,3,2,88
1283,"Alto  da  Mooca, Sao Paulo",2200000,3,4,3,198
1284,"Higienópolis, Sao Paulo",5200000,4,5,5,400
1285,"Campo  Belo, Sao Paulo",290000,1,1,5,20
1286,"Vila  Medeiros, Sao Paulo",190000,2,1,5,60
1287,"Itaquera, Sao Paulo",200000,1,1,5,35
1288,"Vila  Andrade, Sao Paulo",1231000,3,4,2,148
1289,"Moema, Sao Paulo",1500000,3,3,2,94
1290,"Pinheiros, Sao Paulo",955000,3,2,2,110
1291,"Santo  Amaro, Sao Paulo",920000,2,3,2,98
1292,"Sapopemba, Sao Paulo",225000,2,1,2,56
1293,"Pinheiros, Sao Paulo",147900,2,1,2,41
1294,"Moema, Sao Paulo",405000,1,1,2,24
1295,"Jabaquara, Sao Paulo",370000,2,2,2,64
1296,"Vila  Clementino, Sao Paulo",329000,1,1,2,38
1297,"Santa  Cecília, Sao Paulo",525000,2,1,2,65
1298,"Pinheiros, Sao Paulo",820000,2,2,2,85
1299,"Moema, Sao Paulo",970000,3,2,2,97
1300,"Perdizes, Sao Paulo",900000,3,3,2,113
1301,"Moema, Sao Paulo",3210190,4,3,3,307
1302,"Rio  Pequeno, Sao Paulo",690000,2,2,2,122
1303,"Vila  Romana, Sao Paulo",585000,2,2,2,61
1304,"Vila  Leopoldina, Sao Paulo",1100000,3,3,2,96
1305,"Vila  Leopoldina, Sao Paulo",520000,2,2,2,62
1306,"Liberdade, Sao Paulo",325000,2,2,2,50
1307,"Pinheiros, Sao Paulo",670000,1,1,2,49
1308,"Santana, Sao Paulo",490000,1,1,2,44
1309,"Sumaré, Sao Paulo",669890,3,1,2,86
1310,"Tatuapé, Sao Paulo",840000,3,4,2,139
1311,"Paraíso, Sao Paulo",3500000,4,6,4,308
1312,"Moema, Sao Paulo",1226500,3,3,4,110
1313,"Paraíso, Sao Paulo",1150000,3,2,4,128
1314,"Parque  Artur  Alvim, Sao Paulo",169900,1,1,4,33
1315,"Moema, Sao Paulo",1010000,0,1,2,106
1316,"Pompéia, Sao Paulo",1185000,3,2,2,124
1317,"Vila  Mariana, Sao Paulo",1350000,2,2,2,79
1318,"Interlagos, Sao Paulo",340000,2,2,2,65
1319,"Brooklin  Paulista, Sao Paulo",850000,3,3,2,110
1320,"Saúde, Sao Paulo",460000,1,1,2,42
1321,"Vila  Clementino, Sao Paulo",2490000,3,5,3,172
1322,"Vila  Leopoldina, Sao Paulo",476000,1,1,3,48
1323,"Jardins, Sao Paulo",320000,1,1,3,28
1324,"Brooklin, Sao Paulo",690000,3,3,3,82
1325,"Brooklin, Sao Paulo",950000,0,2,3,98
1326,"Vila  Suzana, Sao Paulo",1189900,4,5,4,243
1327,"Cambuci, Sao Paulo",522000,3,2,2,72
1328,"Bom  Retiro, Sao Paulo",800000,3,2,2,180
1329,"Jardim  Europa, Sao Paulo",6910000,3,5,3,480
1330,"Vila  Anastácio, Sao Paulo",879000,3,5,2,87
1331,"Jardim  Ester, Sao Paulo",390000,2,2,2,72
1332,"Santana, Sao Paulo",1600000,3,4,4,146
1333,"Vila  Olímpia, Sao Paulo",885000,2,1,4,64
1334,"Paraíso, Sao Paulo",2170000,3,4,3,156
1335,"Jardim  Paulista, Sao Paulo",1606000,3,1,2,114
1336,"Pirituba, Sao Paulo",179000,2,1,2,40
1337,"Bom  Retiro, Sao Paulo",300000,2,1,2,70
1338,"Moema, Sao Paulo",2245000,3,5,2,192
1339,"Jardim  Anália  Franco, Sao Paulo",950000,3,3,3,140
1340,"Bela  Vista, Sao Paulo",588000,2,2,3,60
1341,"Ipiranga, Sao Paulo",1900000,4,5,3,252
1342,"Sumaré, Sao Paulo",1489000,0,4,3,133
1343,"Jardim  Adhemar  de  Barros, Sao Paulo",300000,2,1,3,53
1344,"Brooklin, Sao Paulo",280000,1,1,3,33
1345,"Higienópolis, Sao Paulo",1600000,0,3,3,126
1346,"Jardim  Paulista, Sao Paulo",385000,1,1,3,30
1347,"Moema, Sao Paulo",850000,0,2,3,80
1348,"Brooklin, Sao Paulo",2390000,4,5,3,206
1349,"Pinheiros, Sao Paulo",1150000,3,3,3,107
1350,"Santa  Cecília, Sao Paulo",1750000,3,2,3,218
1351,"Moema, Sao Paulo",510000,1,1,3,45
1352,"Campo  Belo, Sao Paulo",950000,1,3,2,71
1353,"Moema, Sao Paulo",3130000,4,5,4,230
1354,"Perdizes, Sao Paulo",2130000,3,4,3,149
1355,"Perdizes, Sao Paulo",860000,3,2,2,98
1356,"Jaguaré, Sao Paulo",460000,3,2,2,80
1357,"Vila  Monumento, Sao Paulo",460000,3,2,2,92
1358,"Vila  Nova  Conceição, Sao Paulo",520000,1,1,2,26
1359,"Cidade  Satélite  Santa  Bárbara, Sao Paulo",170000,2,1,2,48
1360,"Moema, Sao Paulo",2350000,3,3,3,160
1361,"Moema, Sao Paulo",1000000,3,2,2,91
1362,"Moema, Sao Paulo",330000,1,1,2,35
1363,"Morumbi, Sao Paulo",550000,2,2,2,87
1364,"Brooklin, Sao Paulo",545000,2,2,2,67
1365,"Jabaquara, Sao Paulo",245000,2,1,2,50
1366,"Vila  Suzana, Sao Paulo",1039900,3,4,3,175
1367,"Pompéia, Sao Paulo",480000,2,1,3,62
1368,"Vila  São  Francisco, Sao Paulo",680000,3,2,2,75
1369,"Higienópolis, Sao Paulo",1600000,3,4,2,167
1370,"Jardim  Paulista, Sao Paulo",550000,0,1,2,37
1371,"Vila  Leopoldina, Sao Paulo",800000,3,2,2,85
1372,"Vila  Nova  Cachoeirinha, Sao Paulo",780000,4,4,3,153
1373,"Ibirapuera, Sao Paulo",4500000,4,5,4,202
1374,"Vila  Nova  Conceição, Sao Paulo",1556500,1,1,4,70
1375,"Vila  Formosa, Sao Paulo",290000,3,2,4,75
1376,"Higienópolis, Sao Paulo",1700000,3,2,2,170
1377,"Vila  Monte  Alegre, Sao Paulo",725000,3,3,2,100
1378,"Santana, Sao Paulo",541000,2,2,2,67
1379,"Saúde, Sao Paulo",489000,2,1,2,51
1380,"Morumbi, Sao Paulo",1030000,3,5,2,126
1381,"Vila  Romana, Sao Paulo",1440000,4,3,3,203
1382,"Vila  Formosa, Sao Paulo",600000,3,2,2,83
1383,"Vila  Madalena, Sao Paulo",525000,0,1,2,31
1384,"Pinheiros, Sao Paulo",428000,0,1,2,56
1385,"Vila  Nova  Conceição, Sao Paulo",635000,1,1,2,40
1386,"Jardim  Paulista, Sao Paulo",5787000,3,5,3,340
1387,"Aclimação, Sao Paulo",340000,2,1,3,64
1388,"Paraíso, Sao Paulo",590000,3,2,3,94
1389,"Vila  Madalena, Sao Paulo",2554000,3,3,3,196
1390,"Consolação, Sao Paulo",450000,1,1,3,40
1391,"Jaguaré, Sao Paulo",286000,2,1,3,60
1392,"Vila  Romana, Sao Paulo",1740000,4,3,3,167
1393,"Consolação, Sao Paulo",3000000,0,3,3,350
1394,"Vila  Leopoldina, Sao Paulo",3580000,3,5,3,264
1395,"Cerqueira  César, Sao Paulo",1590000,3,2,3,158
1396,"Vila  Mariana, Sao Paulo",1490000,4,3,2,171
1397,"Itaim  Bibi, Sao Paulo",2750000,4,3,4,250
1398,"Vila  Mariana, Sao Paulo",960000,3,2,4,117
1399,"Chácara  Klabin, Sao Paulo",1000000,3,3,2,108
1400,"Santo  Amaro, Sao Paulo",710000,3,4,2,100
1401,"Higienópolis, Sao Paulo",2750000,4,5,4,450
1402,"Consolação, Sao Paulo",420000,1,1,4,35
1403,"Vila  Mariana, Sao Paulo",900000,0,3,4,103
1404,"Higienópolis, Sao Paulo",1150000,3,3,4,110
1405,"Jardim  Paulista, Sao Paulo",435000,1,1,4,45
1406,"Catumbi, Sao Paulo",377900,2,1,4,56
1407,"Mooca, Sao Paulo",980000,3,2,3,164
1408,"Bela  Vista, Sao Paulo",300000,0,1,3,50
1409,"Paraíso, Sao Paulo",1600000,3,4,3,254
1410,"Vila  Gumercindo, Sao Paulo",1200000,3,3,2,164
1411,"Liberdade, Sao Paulo",245000,2,1,2,50
1412,"Santa  Cecília, Sao Paulo",640000,0,1,2,38
1413,"Vila  Mariana, Sao Paulo",585000,2,1,2,70
1414,"Vila  Suzana, Sao Paulo",1189900,4,5,4,238
1415,"Moema, Sao Paulo",1650000,3,4,2,199
1416,"Cidade  Satélite  Santa  Bárbara, Sao Paulo",160000,2,1,2,35
1417,"Santo  Amaro, Sao Paulo",1800000,4,3,4,270
1418,"Aclimação, Sao Paulo",529000,2,2,4,65
1419,"Moema, Sao Paulo",1604250,2,4,2,102
1420,"Bela  Vista, Sao Paulo",799000,2,3,2,157
1421,"Paraíso, Sao Paulo",2800000,4,5,4,210
1422,"Vila  Mariana, Sao Paulo",450000,1,1,4,37
1423,"Vila  Olímpia, Sao Paulo",750000,1,1,4,42
1424,"Moema, Sao Paulo",1800000,4,3,2,144
1425,"Moema, Sao Paulo",3070000,4,5,4,182
1426,"Santo  Amaro, Sao Paulo",577000,1,1,4,53
1427,"Moema, Sao Paulo",1165000,3,2,2,130
1428,"Brooklin, Sao Paulo",470000,1,1,2,43
1429,"Vila  Mariana, Sao Paulo",790000,3,2,2,130
1430,"Parque  São  Jorge, Sao Paulo",899000,4,5,2,135
1431,"Brooklin, Sao Paulo",2700000,1,1,3,175
1432,"Jardim  Paulista, Sao Paulo",2450000,2,3,3,166
1433,"Vila  Madalena, Sao Paulo",1950,3,5,4,160
1434,"Jardim  Paulista, Sao Paulo",740000,2,1,2,60
1435,"Pirajussara, Sao Paulo",227900,2,1,2,42
1436,"Vila  Cruzeiro, Sao Paulo",750000,2,2,2,82
1437,"Morumbi, Sao Paulo",1850000,4,6,4,300
1438,"Higienópolis, Sao Paulo",1150000,2,1,2,85
1439,"Jurubatuba, Sao Paulo",850000,3,5,2,136
1440,"Moema, Sao Paulo",380000,1,1,2,32
1441,"Consolação, Sao Paulo",175000,1,1,2,12
1442,"Jardim  Anália  Franco, Sao Paulo",3372500,4,6,5,355
1443,"Vila  Sônia, Sao Paulo",900000,3,4,2,103
1444,"Bom  Retiro, Sao Paulo",400000,3,1,2,120
1445,"Brooklin, Sao Paulo",1750000,3,3,2,124
1446,"Centro, Sao Paulo",721700,2,1,2,60
1447,"Jardins, Sao Paulo",380000,1,1,2,28
1448,"Santana, Sao Paulo",1580000,3,3,4,179
1449,"Vila  Prudente, Sao Paulo",270000,3,2,4,60
1450,"Pinheiros, Sao Paulo",920000,0,3,4,86
1451,"Vila  Mariana, Sao Paulo",692000,2,1,2,80
1452,"Moema, Sao Paulo",1885000,4,4,2,170
1453,"Jardim  Patente, Sao Paulo",264000,3,1,2,87
1454,"Chácara  Inglesa, Sao Paulo",800000,0,3,2,99
1455,"Cerqueira  César, Sao Paulo",4200000,5,0,3,307
1456,"Higienópolis, Sao Paulo",2700000,4,4,2,277
1457,"Santana, Sao Paulo",1900000,3,5,4,354
1458,"Jardim  Paulista, Sao Paulo",2500000,2,3,2,160
1459,"Vila  Mascote, Sao Paulo",498000,3,2,2,76
1460,"Sumaré, Sao Paulo",760000,3,3,2,118
1461,"Vila  Formosa, Sao Paulo",650000,3,3,4,127
1462,"Parque  São  Jorge, Sao Paulo",490000,2,2,4,66
1463,"Perdizes, Sao Paulo",1625000,4,1,3,183
1464,"Santa  Cecília, Sao Paulo",650000,2,1,3,70
1465,"Vila  Ester   Zona  Norte, Sao Paulo",1350000,3,4,2,133
1466,"Itaim  Bibi, Sao Paulo",2900000,3,5,2,194
1467,"Higienópolis, Sao Paulo",4000000,3,0,2,370
1468,"Moema, Sao Paulo",460000,1,1,2,38
1469,"Higienópolis, Sao Paulo",2128000,3,1,2,250
1470,"Conjunto  Habitacional  Juscelino  Kubitschek, Sao Paulo",128000,2,1,2,48
1471,"Vila  Mascote, Sao Paulo",990000,4,5,3,140
1472,"Vila  Mascote, Sao Paulo",750000,3,3,2,92
1473,"Barra  Funda, Sao Paulo",590000,2,1,2,58
1474,"Jardins, Sao Paulo",520000,1,1,2,48
1475,"Perdizes, Sao Paulo",1025000,3,2,2,115
1476,"Mooca, Sao Paulo",530000,3,2,2,126
1477,"Lar  São  Paulo, Sao Paulo",610000,3,2,2,94
1478,"Vila  Olímpia, Sao Paulo",320000,1,1,2,29
1479,"Santa  Cecília, Sao Paulo",1485000,3,1,2,141
1480,"Brás, Sao Paulo",322000,2,2,2,55
1481,"Santana, Sao Paulo",480000,3,2,2,69
1482,"Perdizes, Sao Paulo",704215,2,2,2,71
1483,"Itaim  Bibi, Sao Paulo",750000,1,1,2,38
1484,"Jardim  Europa, Sao Paulo",2200000,0,3,2,137
1485,"Jardim  Celeste, Sao Paulo",480000,3,2,2,71
1486,"Vila  Regente  Feijó, Sao Paulo",1010000,3,3,3,120
1487,"Jardim  Paulista, Sao Paulo",1000000,0,2,3,130
1488,"Perdizes, Sao Paulo",1730000,3,5,3,158
1489,"Moema, Sao Paulo",700000,1,1,3,52
1490,"Morumbi, Sao Paulo",2150000,3,2,4,249
1491,"Pinheiros, Sao Paulo",147900,2,1,4,41
1492,"Cidade  Monções, Sao Paulo",750000,2,1,4,55
1493,"Vila  Guarani  Zona  Sul, Sao Paulo",395000,2,2,4,66
1494,"Vila  Mariana, Sao Paulo",3700000,4,5,4,250
1495,"Campos  Elíseos, Sao Paulo",239000,2,1,4,53
1496,"Jardim  América, Sao Paulo",1500000,0,3,4,180
1497,"Vila  Madalena, Sao Paulo",1300000,2,2,2,120
1498,"Campo  Belo, Sao Paulo",5300000,3,4,7,350
1499,"Jabaquara, Sao Paulo",360000,2,1,7,55
1500,"Santa  Teresinha, Sao Paulo",1400000,3,4,2,139
1501,"Barro  Branco   Zona  Norte, Sao Paulo",950000,3,4,2,145
1502,"Vila  Mascote, Sao Paulo",459000,2,2,2,70
1503,"Vila  Olímpia, Sao Paulo",530000,1,1,2,28
1504,"Higienópolis, Sao Paulo",3200000,4,5,2,400
1505,"Granja  Julieta, Sao Paulo",440000,1,1,2,50
1506,"Chácara  Inglesa, Sao Paulo",370000,0,2,2,67
1507,"Vila  Andrade, Sao Paulo",520000,3,2,3,83
1508,"Cidade  Vargas, Sao Paulo",350000,2,2,3,66
1509,"Vila  Ré, Sao Paulo",380000,4,2,3,100
1510,"Vila  Mariana, Sao Paulo",261800,0,1,3,20
1511,"Moema, Sao Paulo",1600000,3,0,2,110
1512,"Pompéia, Sao Paulo",1284000,3,4,2,107
1513,"Higienópolis, Sao Paulo",2200000,3,1,4,241
1514,"Higienópolis, Sao Paulo",2900000,0,4,5,286
1515,"Vila  Clementino, Sao Paulo",1171000,2,2,2,98
1516,"Belém, Sao Paulo",740000,2,1,2,87
1517,"Moema, Sao Paulo",2255834,3,5,2,153
1518,"Parque  Industrial  Tomas  Edson, Sao Paulo",179000,1,1,2,30
1519,"Paraisópolis, Sao Paulo",265000,3,1,2,60
1520,"Jardim  Boa  Vista   Zona  Oeste, Sao Paulo",209000,2,1,2,41
1521,"Bela  Vista, Sao Paulo",630000,2,2,2,60
1522,"Itaim, Sao Paulo",1100000,2,2,2,69
1523,"Moema, Sao Paulo",680000,1,1,2,39
1524,"Ferreira, Sao Paulo",149900,1,1,2,27
1525,"Liberdade, Sao Paulo",230000,0,1,2,33
1526,"Jardins, Sao Paulo",260000,1,1,2,30
1527,"Higienópolis, Sao Paulo",2000000,3,2,3,193
1528,"Vila  Esperança, Sao Paulo",699000,4,4,2,140
1529,"Pinheiros, Sao Paulo",147900,2,1,2,41
1530,"Tatuapé, Sao Paulo",580000,3,2,2,68
1531,"Moema, Sao Paulo",477000,1,1,2,35
1532,"Pinheiros, Sao Paulo",800000,2,2,2,72
1533,"Indianópolis, Sao Paulo",450000,1,1,2,37
1534,"Bela  Vista, Sao Paulo",463248,1,1,2,40
1535,"Moema, Sao Paulo",950000,2,0,2,74
1536,"Vila  Gumercindo, Sao Paulo",840000,2,3,2,80
1537,"Cidade  Ademar, Sao Paulo",149900,1,1,2,26
1538,"Paraíso, Sao Paulo",3500000,4,3,3,300
1539,"Bela  Vista, Sao Paulo",360000,0,1,3,61
1540,"Mooca, Sao Paulo",349000,3,2,3,78
1541,"Consolação, Sao Paulo",550000,1,1,3,52
1542,"Vila  Leopoldina, Sao Paulo",820000,3,3,2,94
1543,"Santa  Cecília, Sao Paulo",2400000,3,3,3,236
1544,"Mooca, Sao Paulo",550000,3,3,2,85
1545,"Vila  da  Saúde, Sao Paulo",1277000,3,3,3,115
1546,"Brooklin, Sao Paulo",370000,1,1,3,30
1547,"Jardins, Sao Paulo",780000,2,2,3,60
1548,"Vila  Mariana, Sao Paulo",1190000,0,2,2,86
1549,"Sítio  da  Figueira, Sao Paulo",213500,2,1,2,40
1550,"Perdizes, Sao Paulo",2690000,4,6,4,236
1551,"Vila  Carrão, Sao Paulo",650000,3,1,4,75
1552,"Vila  Mariana, Sao Paulo",299000,2,1,4,70
1553,"Vila  Matilde, Sao Paulo",405000,3,1,4,58
1554,"Pinheiros, Sao Paulo",2300000,4,5,3,161
1555,"Jardim  Avelino, Sao Paulo",1400000,3,5,2,156
1556,"Vila  Olímpia, Sao Paulo",690000,0,1,2,45
1557,"Jardins, Sao Paulo",6500000,4,3,3,340
1558,"Jardim  da  Saúde, Sao Paulo",735000,3,3,2,100
1559,"Vila  Andrade, Sao Paulo",990000,4,5,2,240
1560,"Pinheiros, Sao Paulo",900000,2,1,2,87
1561,"Perdizes, Sao Paulo",2200000,4,5,4,244
1562,"Sítio  Pinheirinho, Sao Paulo",280000,3,1,4,73
1563,"Conjunto  Residencial  Vista  Verde, Sao Paulo",278000,3,1,4,74
1564,"Vila  Leopoldina, Sao Paulo",518000,2,1,4,57
1565,"Panamby, Sao Paulo",850000,2,3,2,110
1566,"Belém, Sao Paulo",370000,3,1,2,63
1567,"Butantã, Sao Paulo",1200000,3,4,3,155
1568,"Jardim  Paulista, Sao Paulo",850000,0,1,2,62
1569,"Pirituba, Sao Paulo",295500,2,1,2,62
1570,"Vila  Clementino, Sao Paulo",1100000,3,3,2,100
1571,"Chácara  Santo  Antônio, Sao Paulo",990000,3,4,2,104
1572,"Itaim  Bibi, Sao Paulo",490000,1,1,2,60
1573,"Pinheiros, Sao Paulo",750000,2,1,2,70
1574,"Higienópolis, Sao Paulo",1650000,3,2,2,150
1575,"Vila  Leopoldina, Sao Paulo",450000,2,1,2,53
1576,"Higienópolis, Sao Paulo",635000,2,2,2,50
1577,"Vila  Prudente, Sao Paulo",280000,2,1,2,52
1578,"Moema, Sao Paulo",2300000,3,4,3,150
1579,"Campo  Belo, Sao Paulo",660000,2,1,3,70
1580,"Jardim  Paulista, Sao Paulo",890000,2,2,2,75
1581,"Vila  Madalena, Sao Paulo",754900,2,2,2,60
1582,"Jardim  das  Laranjeiras, Sao Paulo",360000,2,1,2,60
1583,"Jardim  Marajoara, Sao Paulo",179999,2,1,2,56
1584,"Vila  Nova  das  Belezas, Sao Paulo",119000,1,1,2,24
1585,"Vila  Prudente, Sao Paulo",455000,3,2,2,63
1586,"Moema, Sao Paulo",3500000,4,5,5,250
1587,"Santa  Teresinha, Sao Paulo",1385000,4,5,3,130
1588,"Jabaquara, Sao Paulo",280000,2,1,3,52
1589,"Pinheiros, Sao Paulo",650000,1,1,3,44
1590,"Vila  Sônia, Sao Paulo",315000,3,1,3,65
1591,"Paraíso, Sao Paulo",450000,1,1,3,40
1592,"Cambuci, Sao Paulo",190000,2,1,3,35
1593,"Chácara  Santo  Antônio, Sao Paulo",1650000,3,5,3,138
1594,"Butantã, Sao Paulo",374000,3,2,3,78
1595,"Lapa, Sao Paulo",636000,2,1,3,63
1596,"Tatuapé, Sao Paulo",500000,1,1,2,57
1597,"Mooca, Sao Paulo",490000,3,2,2,68
