,region,sales_price,bedroom,bathroom,parking,dimensions
105,"Jardim  Paulista, Sao Paulo",2345000,0,2,2,164
106,"Jabaquara, Sao Paulo",278000,2,2,2,62
107,"Pompéia, Sao Paulo",768000,3,2,2,72
108,"Sumaré, Sao Paulo",950000,0,2,2,106
109,"Bela  Vista, Sao Paulo",595000,2,1,2,65
110,"Aclimação, Sao Paulo",800000,0,2,2,100
111,"Bom  Retiro, Sao Paulo",540000,3,1,2,120
112,"Bom  Retiro, Sao Paulo",480000,3,1,2,68
113,"Brooklin, Sao Paulo",1383000,0,3,2,236
114,"Morumbi, Sao Paulo",665000,3,4,2,125
115,"Chácara  Inglesa, Sao Paulo",950000,0,2,3,91
116,"Jardim  Paulista, Sao Paulo",653000,2,2,3,60
117,"Água  Branca, Sao Paulo",747000,3,3,2,93
118,"Barra  Funda, Sao Paulo",687000,3,3,2,88
119,"Butantã, Sao Paulo",270000,2,1,2,62
120,"Mooca, Sao Paulo",205900,2,1,2,44
121,"Itaquera, Sao Paulo",180000,3,1,2,57
122,"Campo  Belo, Sao Paulo",470000,0,1,2,37
123,"Alto  de  Pinheiros, Sao Paulo",3300000,3,5,3,357
124,"Vila  Buarque, Sao Paulo",605000,2,2,3,118
125,"Vila  Romana, Sao Paulo",1220000,3,2,2,101
126,"Jardins, Sao Paulo",6300000,4,5,3,520
127,"Bela  Vista, Sao Paulo",690000,2,2,3,142
128,"Vila  Nova  Conceição, Sao Paulo",950000,3,2,3,142
129,"Pinheiros, Sao Paulo",1260000,3,3,2,118
130,"Morumbi, Sao Paulo",987000,3,4,3,128
131,"Jardim  Celeste, Sao Paulo",148900,2,1,3,41
132,"Perdizes, Sao Paulo",1300000,3,2,3,165
133,"Vila  Marieta, Sao Paulo",230000,2,1,3,45
134,"Aclimação, Sao Paulo",1600000,3,3,2,196
135,"Vila  Mariana, Sao Paulo",585000,2,1,2,70
136,"Jardim  Paulista, Sao Paulo",790000,2,1,2,70
137,"Vila  Sônia, Sao Paulo",255000,2,1,2,50
138,"Vila  Regente  Feijó, Sao Paulo",1455000,3,1,3,141
139,"Pompéia, Sao Paulo",620000,2,2,2,60
140,"Bom  Retiro, Sao Paulo",750000,3,1,2,97
141,"Bela  Vista, Sao Paulo",249000,1,1,2,55
142,"Pompéia, Sao Paulo",550000,2,2,2,55
143,"Jardim  Londrina, Sao Paulo",510000,3,3,2,96
144,"Paraíso, Sao Paulo",790000,2,1,2,86
145,"Vila  Suzana, Sao Paulo",1003000,3,4,4,212
146,"Cerqueira  César, Sao Paulo",2226000,3,3,2,118
147,"Perdizes, Sao Paulo",1450000,4,3,2,156
148,"Jardim  Paulista, Sao Paulo",2000000,3,4,2,183
149,"Belenzinho, Sao Paulo",1290000,3,4,2,149
150,"Tatuapé, Sao Paulo",2450000,4,3,4,257
151,"Vila  Mascote, Sao Paulo",1100000,4,4,3,210
152,"Moema, Sao Paulo",650000,2,2,3,64
153,"Jardim  Umuarama, Sao Paulo",560000,3,1,2,72
154,"Pinheiros, Sao Paulo",1700000,2,2,2,128
155,"Vila  Matilde, Sao Paulo",250000,2,1,2,43
156,"Santana, Sao Paulo",640000,2,1,2,70
157,"Vila  Olímpia, Sao Paulo",450000,2,1,2,40
158,"Vila  Mascote, Sao Paulo",788000,3,3,2,87
159,"Perdizes, Sao Paulo",2350000,3,5,4,190
160,"Cambuci, Sao Paulo",285000,0,1,4,36
161,"Parque  Residencial  da  Lapa, Sao Paulo",390000,2,1,4,70
162,"Pompéia, Sao Paulo",1250000,4,1,2,129
163,"Consolação, Sao Paulo",700000,0,2,2,99
164,"Pinheiros, Sao Paulo",480000,1,0,2,52
165,"Alto  de  Pinheiros, Sao Paulo",7687000,3,5,3,516
166,"Barra  Funda, Sao Paulo",198900,1,1,3,31
167,"Jardim  São  Luís, Sao Paulo",245000,2,1,3,56
168,"Mooca, Sao Paulo",399000,2,1,3,50
169,"Perdizes, Sao Paulo",500000,4,4,2,160
170,"Perdizes, Sao Paulo",2099000,4,2,2,236
171,"Vila  Nova  Cachoeirinha, Sao Paulo",242000,2,1,2,41
172,"Perdizes, Sao Paulo",750000,3,3,2,82
173,"Bom  Retiro, Sao Paulo",470000,3,2,2,61
174,"Jabaquara, Sao Paulo",345000,2,1,2,56
175,"Pinheiros, Sao Paulo",810000,1,1,2,50
176,"Vila  Andrade, Sao Paulo",1150000,4,1,4,190
177,"Santa  Cecília, Sao Paulo",1550000,3,1,4,177
178,"Consolação, Sao Paulo",376000,1,1,4,40
179,"Jaguaré, Sao Paulo",245000,2,1,4,72
180,"Paraíso, Sao Paulo",600000,2,2,4,72
181,"Barra  Funda, Sao Paulo",580000,2,1,4,62
182,"Vila  Mariana, Sao Paulo",970000,3,2,4,78
183,"Mooca, Sao Paulo",890000,2,2,2,110
