,Unnamed: 0,region,sales_price,bedroom,bathroom,parking,dimensions,latitude,longitude,mean_price,std_price,price_meter,average
41,59,"Saude, Sao Paulo",585000,2,2,2,62,-23.61517795,-46.6433933431463,695812.168253968,370447.777904106,9435.48387096774,8483.63977850064
42,60,"Bela Vista, Sao Paulo",310000,1,1,2,29,-23.5622095,-46.6477664878894,764672.640275387,602466.825978067,10689.6551724138,8904.73187153836
43,61,"Jardim Celeste, Sao Paulo",280000,3,2,2,62,-23.4855674,-47.4932116,198385.172839506,73043.8737158686,4516.12903225806,4023.83916121497
44,62,"Bela Vista, Sao Paulo",310000,1,1,2,48,-23.5622095,-46.6477664878894,764672.640275387,602466.825978067,6458.33333333333,8904.73187153836
45,63,"Morumbi, Sao Paulo",349000,3,3,2,82,-23.5957392,-46.7072595387581,5063457.15289256,66800147.0710498,4256.09756097561,6114.79985112859
46,64,"Vila Mascote, Sao Paulo",828000,3,2,3,116,-23.6453648,-46.6710776663326,857119.747252747,624265.245162966,7137.93103448276,7717.83652050937
47,65,"Chacara Inglesa, Sao Paulo",298500,1,1,3,30,-23.608307,-46.6323198,3035931.74766355,16223141.8165555,9950.0,9202.93926679169
48,66,"Jardins, Sao Paulo",485000,1,1,3,27,-22.3436278,-49.0169154,1086111.02362205,1256021.80050732,17962.962962963,11843.3035711004
49,67,"Agua Branca, Sao Paulo",490000,2,2,3,64,-23.5212579,-46.6885155,1124235.63636364,1182038.94510049,7656.25,8288.36729210497
50,68,"Vila Mascote, Sao Paulo",1100000,3,3,3,115,-23.6453648,-46.6710776663326,857119.747252747,624265.245162966,9565.21739130435,7717.83652050937
51,69,"Perdizes, Sao Paulo",1290000,3,4,2,121,-23.5379295,-46.680670510854,1407561.56599789,909665.465898378,10661.1570247934,9409.53370787521
52,70,"Higienopolis, Sao Paulo",2000000,4,3,2,220,-20.8368569,-49.3881547,2011172.37823834,1602435.53969756,9090.90909090909,10146.6353707394
53,71,"Vila das Merces, Sao Paulo",520000,3,2,2,74,-23.6231613,-46.6085346,422350.0,142817.29781632,7027.02702702703,6337.30327803259
54,72,"Perdizes, Sao Paulo",2400000,4,1,3,263,-23.5379295,-46.680670510854,1407561.56599789,909665.465898378,9125.4752851711,9409.53370787521
55,73,"Itaim Bibi, Sao Paulo",1680000,3,3,3,136,-23.6015117,-46.6852079877868,8912909.01339286,100018534.494108,12352.9411764706,15011.4003739799
56,74,"Bela Vista, Sao Paulo",199000,1,1,3,18,-23.5622095,-46.6477664878894,764672.640275387,602466.825978067,11055.5555555556,8904.73187153836
57,75,"Bela Vista, Sao Paulo",215000,1,1,3,28,-23.5622095,-46.6477664878894,764672.640275387,602466.825978067,7678.57142857143,8904.73187153836
58,76,"Cambuci, Sao Paulo",260000,0,1,3,28,-23.5661285,-46.6136503087109,457189.062222222,258552.543348121,9285.71428571429,6824.35402782199
59,77,"Vila Leopoldina, Sao Paulo",1450000,3,5,2,129,-23.530072,-46.734319333134,1256080.93650794,827884.992937711,11240.3100775194,9517.83987380299
60,79,"Butanta, Sao Paulo",260000,2,1,2,54,-23.569131,-46.7218739532194,512459.368852459,305164.755923454,4814.81481481481,5858.58782947985
61,80,"Jardim Paulista, Sao Paulo",1880000,3,3,2,135,-23.5674355,-46.6636917206251,4304926.06760204,66042742.7032011,13925.9259259259,12319.3530995925
62,81,"Chacara Santo Antonio, Sao Paulo",1942000,4,5,3,189,-23.4997345,-47.5533139,2717211.31386861,17851631.3128622,10275.1322751323,10489.7690667399
63,82,"Morumbi, Sao Paulo",365000,1,1,3,30,-23.5957392,-46.7072595387581,5063457.15289256,66800147.0710498,12166.6666666667,6114.79985112859
64,83,"Perdizes, Sao Paulo",490000,0,1,3,60,-23.5379295,-46.680670510854,1407561.56599789,909665.465898378,8166.66666666667,9409.53370787521
65,84,"Sacoma, Sao Paulo",370000,2,1,3,55,-23.6012824,-46.6025552,6302953.94117647,29889650.9877443,6727.27272727273,5603.78606692166
66,85,"Jardim America, Sao Paulo",1183944,3,1,3,140,-23.0402074,-45.5394484,2715944.14583333,2690010.8568423,8456.74285714286,12130.2434609517
67,86,"Panamby, Sao Paulo",850000,2,3,2,110,-23.5190045,-46.6676637,1459952.52884615,953463.062536221,7727.27272727273,7434.87860491516
68,87,"Campo Belo, Sao Paulo",570000,0,2,2,88,-23.62673055,-46.6694214293408,1590889.81924883,1481225.99833736,6477.27272727273,10388.3733034701
